player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Niles King,200179,ED,S DIEGO ST,13,9,0,284,0,-2.0,100.0,12.0,6.0,6.0,0,0,0.0,53.1,0,3,,0,0,118.8,1,6,66.7,50,2,0,1,1,3,5,0.5,3.0,0,0,,,2.0,,,0,0,,63.0,0,,25.0,1,0,0.0,0,3,33.3,153,6,3,0,0,0,0,0.0,
Charger Doty,200240,S,UTAH ST,4,32,0,329,0,10.0,100.0,58.8,10.0,10.0,0,0,0.0,48.7,0,24,,0,0,118.8,1,10,31.3,17,0,0,1,0,24,14,2.4,24.0,0,0,4.3,66.7,83.3,9.5,6.3,0,1,33.3,72.9,0,15,25.0,1,1,86.8,2,20,62.5,24,1,3,3,0,21,14,1.1,10.5
Mataira Brown,200241,LB,UTAH ST,13,135,0,329,1,,,32.0,,,0,0,,83.8,1,,0.0,0,0,0.0,0,16,11.9,50,0,0,0,0,0,0,0.0,,0,1,7.4,50.0,63.9,20.8,10.4,0,0,0.0,50.5,0,18,28.6,2,0,67.2,4,85,63.0,133,2,4,8,0,45,17,0.5,11.3
Chris Joe,200251,LB,UTAH ST,13,184,0,329,0,7.0,0.0,44.9,,37.0,0,1,100.0,73.8,0,,50.0,1,1,39.6,0,40,21.7,89,3,1,1,0,0,0,0.0,,0,2,3.8,60.0,65.6,13.1,7.9,0,0,0.0,49.7,0,14,30.0,3,0,68.5,9,122,66.3,186,3,5,15,0,59,42,0.5,6.6
Dakota Howell,200260,LB,UTAH ST,1,3,0,329,0,-3.0,100.0,33.3,2.0,2.0,0,0,0.0,49.5,0,5,50.0,1,0,87.5,1,2,66.7,6,0,1,1,0,5,8,2.5,5.0,0,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,2,0,0,0,0,0,0,0.0,
Vanzale Hinton,200263,S,VANDERBILT,5,27,0,333,0,13.5,50.0,92.3,5.0,2.5,0,1,25.0,45.5,0,32,,0,1,131.3,2,12,44.4,13,0,0,4,2,46,7,4.6,23.0,0,0,17.0,100.0,100.0,14.0,14.0,0,0,0.0,57.2,0,20,,0,0,118.8,1,14,51.9,14,0,0,1,0,20,3,1.4,20.0
Carson Lawrence,200264,S,VANDERBILT,6,77,0,333,0,8.5,50.0,70.8,7.5,3.8,0,1,25.0,78.0,0,6,0.0,0,1,95.8,2,17,22.1,24,0,1,4,1,11,10,0.7,5.5,0,1,7.0,75.0,96.6,18.3,13.8,0,0,0.0,65.1,0,20,14.3,1,0,104.2,3,56,72.7,58,2,5,4,0,38,11,0.7,12.7
Cayden Daniels,200265,CB,VANDERBILT,3,43,0,333,0,,,100.0,,,0,0,,64.5,0,,,0,0,0.0,0,7,16.3,7,0,0,0,0,0,0,0.0,,0,1,22.0,0.0,100.0,,30.0,0,1,100.0,78.2,0,,0.0,0,1,39.6,0,30,69.8,30,1,4,1,0,0,0,0.0,
Corey Costner,200270,CB,VIRGINIA,13,136,0,335,0,16.0,62.5,94.9,7.2,4.5,0,1,12.5,52.3,0,30,20.0,1,1,101.0,5,37,27.2,39,1,4,8,0,90,17,2.5,18.0,0,0,13.1,57.1,98.6,17.3,9.9,0,1,14.3,83.1,2,24,33.3,2,1,39.3,4,73,53.7,74,3,4,7,0,49,22,0.7,12.3
Montino Williams,200278,S,VIRGINIA,2,11,0,335,0,29.0,0.0,100.0,,5.0,0,1,100.0,66.3,0,,100.0,1,1,39.6,0,5,45.5,5,0,0,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,52.5,0,,0.0,0,0,0.0,0,6,54.5,6,0,1,0,0,0,0,0.0,
Josiah Persinger,200281,CB,VIRGINIA,3,33,0,335,0,7.7,66.7,100.0,6.0,4.0,0,1,33.3,70.0,0,16,0.0,0,1,82.6,2,12,36.4,12,1,1,3,0,18,7,1.5,9.0,0,0,26.5,50.0,100.0,10.0,5.0,0,0,0.0,58.2,0,39,0.0,0,0,86.5,2,20,60.6,20,0,1,4,0,41,10,2.1,20.5
Zahir Mathis,200306,ED,MARYLAND,10,16,0,215,0,2.0,100.0,3.5,3.0,3.0,0,0,0.0,61.6,0,4,,0,0,83.3,1,3,18.8,85,0,0,1,0,4,2,1.3,4.0,0,0,-0.5,100.0,7.7,6.0,6.0,0,0,0.0,57.4,0,22,66.7,4,0,152.1,2,12,75.0,155,6,2,2,1,22,23,1.8,11.0
Jayden Shipps,200309,CB,MARYLAND,8,74,0,215,0,25.0,0.0,100.0,,24.0,0,0,0.0,64.4,0,,,0,0,39.6,0,27,36.5,27,0,0,1,0,0,0,0.0,,0,0,5.4,100.0,91.5,8.4,8.4,0,0,0.0,59.6,0,18,20.0,1,0,100.8,5,43,58.1,47,2,4,5,0,41,14,1.0,8.2
Lonnie McAllister III,200317,CB,STANFORD,5,68,0,300,0,3.5,50.0,100.0,10.0,5.0,0,1,25.0,60.8,0,12,0.0,0,0,56.3,2,21,30.9,21,1,1,4,0,11,15,0.6,5.5,0,0,0.0,100.0,87.8,5.8,5.8,1,0,0.0,50.9,0,32,33.3,2,0,116.0,6,36,52.9,41,1,4,6,0,71,71,2.0,11.8
Chris Garland,200318,CB,STANFORD,2,18,0,300,0,13.0,100.0,100.0,6.0,6.0,0,0,0.0,55.5,0,14,0.0,0,0,118.8,1,6,33.3,6,0,1,1,0,14,1,2.3,14.0,0,0,13.0,100.0,100.0,5.0,5.0,0,0,0.0,61.2,0,30,0.0,0,0,118.8,2,10,55.6,10,1,2,2,0,34,8,3.4,17.0
Gabe Kaminski,200322,ED,STANFORD,4,8,0,300,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,0,4.0,100.0,30.0,6.0,6.0,0,0,0.0,72.1,0,5,0.0,0,0,87.5,1,6,75.0,20,0,1,1,0,5,1,0.8,5.0
Donte Utu,200328,S,STANFORD,1,6,0,300,0,,,100.0,,,0,0,,60.4,0,,,0,0,0.0,0,2,33.3,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,62.1,0,,,0,0,0.0,0,4,66.7,4,0,0,0,0,0,0,0.0,
Scott Taylor,200329,ED,UCLA,7,33,0,324,1,,,34.9,,,0,0,,65.8,0,,0.0,0,0,0.0,0,15,45.5,43,0,1,0,0,0,0,0.0,,0,0,2.0,100.0,34.3,11.0,11.0,0,0,0.0,62.6,0,7,33.3,1,0,95.8,1,12,36.4,35,1,2,1,0,7,5,0.6,7.0
Jewelous Walls,200336,ED,UCLA,10,4,0,324,0,,,4.3,,,0,0,,60.2,0,,100.0,1,0,0.0,0,2,50.0,46,0,0,0,0,0,0,0.0,,0,0,,,4.4,,,0,0,,62.9,0,,0.0,0,0,0.0,0,2,50.0,45,0,1,0,0,0,0,0.0,
