player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Sirad Bryant,143906,S,UAB,11,4,0,77.8,2,0,321,0,0,61.9,50.3,0.0,51.8,50.9,28.9,0,2,0,0,69,32.7,17,2,6,153.9,7,0,0,161,1,164,393,55,0,0,55,0,141,338,12,217,35,14,31,4,9,2,2,103,78,14.7
Daylon Gordon,143915,HB,GA TECH,1,0,0,,0,0,176,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Thomas Davis,143939,ED,APP STATE,7,4,0,100.0,3,0,108,0,0,65.6,69.9,0.0,77.7,69.7,55.4,2,8,0,0,13,25.0,6,0,5,101.4,3,3,0,0,0,21,220,211,0,0,211,0,0,9,120,79,9,11,14,4,3,13,0,25,13,8.3
Allan Haye,143943,DI,TEMPLE,12,12,1,,0,1,306,0,0,59.0,67.2,28.5,60.4,71.9,65.1,0,5,0,0,,10.0,3,0,3,0.0,0,0,0,0,0,1,442,442,185,239,1,17,0,0,180,261,0,11,15,2,0,5,0,0,0,
Jabari Ishmael,143944,ED,SO MISS,11,5,0,100.0,0,0,296,1,0,71.1,66.6,88.5,60.2,64.2,66.4,0,10,0,0,42,13.0,3,0,0,118.8,2,1,0,13,0,34,314,297,0,0,297,0,0,17,119,161,4,7,15,1,2,11,0,46,31,23.0
Chase Smith,143952,LB,MIAMI FL,16,9,0,92.3,2,0,220,2,0,48.7,62.5,25.6,65.6,77.9,63.6,2,4,0,0,21,16.7,6,2,2,100.0,12,0,0,218,1,139,265,28,0,0,28,0,0,237,23,103,18,13,21,0,13,6,0,104,69,8.7
Dontae Balfour,143957,CB,TEXAS TECH,12,1,0,56.0,1,0,315,0,0,72.1,72.3,82.8,56.1,69.7,79.2,0,0,0,0,43,0.0,0,4,2,86.9,14,0,0,22,302,212,334,2,0,0,2,0,6,332,4,118,2,4,18,1,25,0,1,149,29,10.6
DeAndre Boykins,143959,S,OKLA STATE,1,0,0,,0,0,262,0,0,,60.0,63.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,
TyMir Brown,143960,CB,E CAROLINA,13,6,0,57.1,0,0,156,0,0,82.7,78.4,84.6,,50.9,63.9,0,0,1,1,63,9.8,4,1,1,85.8,12,0,0,48,546,356,598,2,0,0,2,0,1,596,0,242,1,6,31,2,21,0,1,202,29,16.8
Dontavius Nash,143972,CB,MICH STATE,8,6,0,76.2,0,0,223,0,0,47.0,52.3,82.9,69.1,65.1,44.0,1,0,0,0,39,23.5,4,0,1,122.3,16,0,0,21,3,87,177,3,0,0,3,0,0,174,4,86,149,4,7,1,21,1,1,206,118,12.9
Keeshawn Silver,143979,DI,USC,13,8,0,,1,0,326,0,0,72.2,56.4,38.8,58.3,54.9,38.1,1,4,0,0,,14.8,4,0,2,0.0,0,1,0,0,0,0,352,351,178,161,0,12,0,1,168,184,0,11,15,1,0,6,0,0,0,
