player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jordan Dunbar,129844,CB,MO STATE,13,0,0,230,58.9,0,0,1,0.2,0.0,0,2,0.0,0,434,1,0,0,,0,0,0,0.0,,0,,0,134,0,0
Plae Wyatt,129868,S,RICE,4,0,0,275,60.0,0,0,1,2.9,0.0,0,0,0.0,0,34,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Wesley Bailey,129871,ED,LOUISVILLE,12,0,0,210,82.2,6,29,299,96.9,18.1,54,3,8.9,9,319,309,44,0,88.3,3,16,112,95.9,28.6,32,13.8,6,123,118,25
Shawn Collins,129874,ED,APP STATE,3,0,0,108,58.7,0,1,35,100.0,8.6,3,0,1.4,0,40,40,1,0,65.2,0,1,10,100.0,30.0,3,5.0,0,13,13,1
Rene Konga,129880,DI,LOUISVILLE,12,5,0,210,85.2,2,22,313,100.0,14.7,46,2,4.5,2,327,327,26,4,91.4,2,13,119,100.0,26.1,31,8.0,2,126,126,17
Caleb Patterson,129898,ED,FIU,1,0,0,166,67.3,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,66.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Ben Barten,129913,DI,WISCONSIN,12,2,0,349,61.0,0,6,175,100.0,5.1,9,0,2.3,1,180,180,7,1,62.9,0,4,56,100.0,8.9,5,5.4,1,59,59,5
James Thompson Jr.,129930,DI,ILLINOIS,13,1,0,187,64.2,2,11,218,99.1,5.5,12,0,3.9,2,229,227,15,1,64.8,1,6,66,100.0,9.1,6,5.3,0,68,68,7
Aaron Witt,129937,ED,WISCONSIN,10,0,0,349,62.7,0,2,11,16.7,9.1,1,0,9.1,0,66,11,2,0,65.6,0,1,3,27.3,33.3,1,16.7,0,11,3,1
Preston Zachman,129939,S,WISCONSIN,3,0,0,349,59.5,0,0,1,1.4,0.0,0,0,0.0,0,74,1,0,0,,0,0,0,0.0,,0,,0,34,0,0
DiMarco Johnson,130299,S,AKRON,11,0,0,102,55.8,0,1,5,1.8,0.0,0,0,10.0,0,273,5,1,0,57.1,0,1,2,2.4,0.0,0,25.0,0,84,2,1
Jalen McNair,130415,S,BUFFALO,12,0,1,126,59.4,1,1,8,3.4,12.5,1,2,12.5,0,297,10,2,0,54.3,0,0,3,2.4,0.0,0,0.0,0,125,3,0
George Wolo,130424,DI,BUFFALO,12,0,0,126,64.2,0,5,179,100.0,6.7,12,0,2.0,1,188,188,6,0,66.6,0,3,61,100.0,13.1,8,2.5,0,65,65,3
Mikah Coleman,130451,ED,CINCINNATI,12,0,0,138,57.0,1,13,211,98.7,5.7,12,2,4.7,3,234,231,17,0,61.4,0,3,40,97.7,5.0,2,11.3,3,44,43,6
Luke Murphy,130498,LB,COAST CAR,11,0,0,141,54.4,1,0,37,16.9,0.0,0,1,4.1,1,231,39,2,0,51.4,0,0,11,23.9,0.0,0,0.0,0,46,11,0
CJ Brown,130541,S,SM HOUSTON,10,0,0,281,60.7,0,1,10,3.3,10.0,1,0,5.0,0,302,10,1,0,57.8,0,0,2,3.9,0.0,0,0.0,0,51,2,0
Ivan Davis,130546,ED,N ILLINOIS,5,0,0,254,56.7,0,1,21,100.0,0.0,0,0,2.4,0,22,22,1,0,59.2,0,0,9,100.0,0.0,0,0.0,0,10,10,0
Devin Lafayette,130562,S,TROY,14,1,0,318,63.0,1,5,20,4.5,10.0,2,0,20.0,1,469,21,7,0,59.7,0,0,1,0.6,0.0,0,0.0,0,157,1,0
Pierce Oppong,130570,TE,N ILLINOIS,2,0,0,254,61.8,0,0,7,100.0,0.0,0,1,0.0,0,8,8,0,0,67.6,0,0,1,100.0,0.0,0,0.0,0,2,2,0
Daveren Rayner,130573,LB,KENTUCKY,12,0,1,202,66.7,2,2,29,11.2,10.3,3,1,13.8,2,285,32,6,0,68.8,1,0,8,8.6,12.5,1,18.8,1,105,9,2
Ray Thomas,130580,DI,MISS STATE,7,0,0,227,55.2,0,0,21,100.0,0.0,0,0,4.8,1,25,25,1,0,56.8,0,0,7,100.0,0.0,0,14.3,1,7,7,1
Jaelen Crider,130616,DI,LA LAFAYET,13,0,0,207,55.5,1,4,227,99.6,1.8,4,0,2.0,2,237,236,7,0,54.9,0,2,54,100.0,1.9,1,3.7,1,57,57,3
Martez Poynter,130629,DI,TOLEDO,12,1,0,316,90.5,6,21,265,99.7,12.1,32,3,7.7,7,286,285,34,1,79.5,1,10,88,100.0,11.4,10,9.7,3,98,98,14
Kole Briehler,131078,DI,STANFORD,1,0,0,300,58.5,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,59.1,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Jaxson Campbell,131100,CB,NAVY,13,0,0,237,63.7,3,4,76,34.2,6.6,5,2,5.9,1,237,81,8,0,62.4,0,2,22,37.1,9.1,2,9.1,1,62,23,3
Braylen Jackson,131191,DI,BAYLOR,2,0,0,118,59.8,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Brian Booker,131222,DI,NEW MEXICO,12,1,0,241,65.5,2,8,185,98.5,5.9,11,0,4.3,3,195,192,13,0,64.6,1,5,45,97.9,8.9,4,11.1,2,48,47,8
Ashton Levells,131257,CB,FIU,9,0,2,166,58.9,0,0,1,0.5,0.0,0,5,0.0,0,205,1,0,0,,0,0,0,0.0,,0,,0,76,0,0
Treylin Payne,131350,LB,TEXAS ST,13,0,0,314,85.2,6,8,48,15.9,14.6,7,2,18.8,2,334,53,16,0,91.9,1,2,7,12.7,28.6,2,35.7,1,79,10,4
Preston Hodge,131462,CB,COLORADO,12,0,1,143,85.2,2,2,8,2.6,12.5,1,5,25.0,0,383,10,4,0,70.2,1,0,2,1.3,0.0,0,25.0,0,158,2,1
Treydan Stukes,131596,CB,ARIZONA,10,1,0,109,84.3,0,2,11,3.7,27.3,3,0,27.3,2,296,11,4,0,80.6,0,1,4,4.2,50.0,2,62.5,2,95,4,3
Dion Wilson Jr.,131600,DI,SYRACUSE,12,2,0,304,66.9,2,6,200,100.0,3.5,7,2,2.0,0,211,211,8,0,62.1,1,3,50,100.0,6.0,3,4.0,0,54,54,4
Andy Alfieri,131639,LB,OREGON ST,7,1,0,265,62.5,0,4,14,40.5,14.3,2,0,14.3,0,42,17,4,1,71.2,0,4,6,61.5,33.3,2,33.3,0,13,8,4
Stanley Saole-McKenzie,131656,DI,CAL,13,0,0,130,56.2,1,1,119,100.0,3.4,4,0,0.8,0,124,124,2,0,56.6,0,1,41,100.0,4.9,2,1.2,0,45,45,1
Devin Grant,131680,ED,W VIRGINIA,11,1,0,343,64.8,1,20,212,94.8,9.0,19,0,6.4,3,233,221,24,0,69.7,1,8,71,89.3,15.5,11,7.7,1,84,75,10
Logan Sagapolu,131721,DI,WASHINGTON,5,0,0,340,56.5,0,0,10,100.0,0.0,0,0,0.0,0,12,12,0,0,58.9,0,0,2,100.0,0.0,0,0.0,0,2,2,0
