player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Baylor Hayes,192135,QB,TULSA,10,70.2,285,319,10.3,2.93,8,17,4.9,58.0,185,0,148,7.5,372,15,115,320,53.0,59.0,57.1,60.2,5,6,403,1,16.2,83.3,6.5,24,29,2,19,12,15,3.7,2161,6.8
Kyron Drones,144506,QB,VA TECH,12,67.4,291,317,9.4,3.15,2,15,4.5,55.8,177,0,154,9.7,387,19,96,337,55.6,69.9,61.2,73.5,8,9,407,1,16.2,80.1,6.5,25,42,1,15,17,19,4.7,1937,6.1
Tayven Jackson,157615,QB,UCF,11,71.7,297,317,7.8,2.65,2,11,3.4,63.1,200,0,98,6.1,349,13,91,323,49.2,59.4,55.1,70.0,3,8,358,6,16.3,83.1,4.6,16,13,0,15,10,17,4.7,2161,6.8
Mason Heintschel,199088,QB,PITTSBURGH,10,72.8,298,317,8.6,3.12,6,13,3.8,63.1,200,0,150,7.8,388,17,125,268,45.5,59.6,57.3,62.2,2,8,418,2,21.3,91.8,8.2,32,37,0,11,16,20,4.8,2345,7.4
Evan Simon,129906,QB,TEMPLE,12,71.4,276,314,8.7,2.59,5,13,4.0,60.5,190,0,117,3.6,357,7,118,306,66.9,66.7,64.5,64.4,6,2,369,2,15.4,104.3,5.0,18,22,0,27,25,11,3.0,2100,6.7
Tommy Castellanos,158433,QB,FLORIDA ST,12,67.7,291,311,12.9,3.17,3,23,7.0,58.2,181,0,125,8.1,376,16,132,167,52.3,85.7,86.0,67.3,4,9,394,4,12.0,91.6,4.0,15,50,0,13,15,8,2.0,2765,8.9
Parker Navarro,123758,QB,OHIO,13,70.8,281,308,10.9,3.21,5,16,4.8,61.0,188,0,141,5.5,379,11,136,259,29.9,69.6,61.1,75.3,1,11,405,9,14.2,85.4,5.3,20,51,1,20,14,19,4.7,2379,7.7
Zevi Eckhaus,148535,QB,WASH STATE,11,71.5,284,307,9.3,2.7,8,15,4.6,62.9,193,0,151,4.9,351,10,110,341,60.1,74.5,64.2,82.1,1,12,373,3,12.6,82.8,5.4,19,24,0,14,15,12,3.2,2086,6.8
Cutter Boley,184630,QB,KENTUCKY,11,72.1,290,305,7.9,2.7,2,7,2.2,64.9,198,0,108,5.3,364,11,123,202,39.9,59.4,59.2,56.5,1,12,387,3,23.1,85.9,6.9,25,30,2,10,15,19,4.9,2175,7.1
Blake Shapen,122282,QB,MISS STATE,11,77.3,278,303,9.3,2.69,9,15,4.7,64.4,195,0,121,9.3,368,20,101,227,40.4,68.4,74.4,47.0,5,8,389,2,28.9,94.6,9.5,35,30,0,11,15,10,2.6,2428,8.0
Maddux Madsen,163379,QB,BOISE ST,11,71.4,283,302,8.7,2.82,8,11,3.4,58.3,176,0,106,12.9,350,26,116,120,62.0,69.8,67.5,63.9,0,9,369,3,16.0,90.3,4.9,17,31,0,11,18,14,3.8,2332,7.7
CJ Carr,184093,QB,NOTRE DAME,12,73.2,280,299,10.6,2.54,4,21,6.5,65.2,195,0,76,4.9,317,10,137,258,67.1,85.1,83.5,65.9,3,6,340,4,10.5,113.0,2.5,8,9,2,10,24,11,3.2,2741,9.2
Bishop Davenport,163426,QB,S ALABAMA,12,74.8,286,298,6.3,2.46,3,9,2.7,67.8,202,0,87,5.6,341,12,102,288,46.8,66.6,56.7,76.6,2,6,372,5,24.1,92.6,6.2,21,21,0,7,12,18,4.8,2075,7.0
LaNorris Sellers,174326,QB,S CAROLINA,12,70.3,269,296,9.5,3.15,6,15,4.7,59.8,177,0,163,6.3,384,12,106,289,52.1,73.4,66.9,72.4,6,8,410,5,24.5,89.5,10.4,40,47,2,13,13,14,3.4,2433,8.2
Amari Odom,178686,QB,KENNESAW,12,72.4,275,292,9.8,2.87,2,22,7.0,64.7,189,0,115,5.0,346,10,112,200,46.9,73.5,71.9,65.1,1,8,372,2,19.1,103.4,6.4,22,30,1,13,19,17,4.6,2603,8.9
Colton Joseph,172283,QB,DOMINION,12,65.1,281,291,13.3,2.91,2,16,5.1,59.5,173,0,84,5.5,334,10,116,263,37.3,78.9,71.4,75.0,2,10,355,2,20.2,99.0,5.1,17,26,0,6,21,13,3.7,2629,9.0
Garrett Nussmeier,146757,QB,LSU,9,77.4,274,288,7.0,2.48,6,14,4.5,67.4,194,0,79,8.5,310,18,97,211,70.7,77.1,76.4,60.0,2,5,335,1,19.0,92.7,4.8,15,7,0,6,12,10,3.0,1921,6.7
Dylan Lonergan,172386,QB,BOSTON COL,10,74.3,268,284,7.7,2.59,8,12,4.1,66.9,190,0,71,4.5,318,9,101,121,60.3,70.8,71.7,50.9,1,5,330,0,21.1,94.3,4.7,15,17,0,7,12,10,3.0,2024,7.1
Maalik Murphy,157302,QB,OREGON ST,10,67.8,267,280,9.1,2.52,6,6,2.1,58.2,163,0,91,9.9,295,18,87,265,68.8,60.5,58.3,67.1,1,8,305,1,13.2,76.5,4.1,12,3,0,6,9,14,4.6,1818,6.5
E.J. Warner,156185,QB,FRESNO ST,10,78.5,265,278,6.9,2.62,4,9,3.1,69.4,193,0,78,7.2,319,15,108,169,40.7,70.3,68.4,62.6,1,11,335,1,21.8,89.5,5.3,17,22,0,8,13,16,4.8,2034,7.3
Kiael Kelly,145634,QB,BALL ST,12,66.5,257,275,8.1,2.99,6,6,2.1,56.7,156,0,158,8.8,375,15,93,117,27.7,58.6,46.8,70.8,1,8,393,3,31.0,75.0,13.1,49,47,0,11,11,17,4.3,1614,5.9
Maverick McIvor,99476,QB,W KENTUCKY,8,74.7,253,272,8.5,2.39,6,15,5.2,66.2,180,0,84,4.8,298,9,99,346,62.0,73.2,72.1,63.5,4,6,314,1,13.1,94.1,3.7,11,12,2,7,12,11,3.5,2044,7.5
Beau Pribula,164182,QB,MISSOURI,10,75.4,252,271,7.5,2.72,0,8,2.8,67.2,182,0,105,4.2,322,8,112,229,58.3,76.1,73.0,68.0,5,9,334,0,23.8,87.6,7.8,25,25,1,13,11,12,3.6,1941,7.2
Ethan Vasko,163817,QB,LIBERTY,10,66.8,238,268,11.2,2.96,7,13,4.6,56.3,151,0,102,5.0,300,8,96,206,59.7,67.1,63.1,67.9,1,12,316,5,14.7,73.3,5.0,15,16,1,21,10,16,5.1,1961,7.3
Zane Flores,174288,QB,OKLA STATE,9,70.9,244,267,7.4,2.67,3,6,2.2,59.6,159,0,102,8.1,301,14,80,262,53.5,58.0,53.4,67.7,4,7,312,0,17.6,67.8,6.0,18,16,1,15,3,13,4.2,1488,5.6
